Ano,Localização,Rede,R_EF_Total,R1EF,R2EF,R3EF,4REF,R5EF,R6EF,R7EF,R8EF,R9EF,RTotal - EM,R1EM,R2EM,R3EM,R4EM,RNão-Seriado
2018,Urbana,Privada,1.9,1.3,1,1.2,1.1,1.1,2.6,3.3,3,3.1,3.7,6.1,3.2,1.3,9.2,2.6
2018,Rural,Privada,3.4,2.5,2.1,2.9,2.7,2.8,4.7,5.4,5,3.2,4,6,3.5,2.1,1.1,0
2018,Total,Pública,8.1,1.2,2.4,11.1,7.4,6.4,13.2,11.7,9.3,7.6,11.4,16.6,10.2,6,7.7,14.7
2018,Urbana,Pública,7.7,1.2,2.4,10.3,6.3,5.3,12.7,11.6,9.4,7.9,11.6,16.8,10.4,6,7.8,15
2018,Rural,Pública,9.8,1.4,2.7,14.5,12.2,11.1,16.3,12.4,8.8,5.7,8.5,12.1,7.7,4.5,3,12.6
2017,Total,Total,7.4,1.2,2.2,9.7,6.3,5.9,12.7,10.9,8.8,7.5,10.8,15.8,9.6,5.5,7,8.9
2017,Urbana,Total,7,1.2,2.1,8.8,5.2,4.8,12.1,10.7,8.8,7.8,10.9,16,9.7,5.6,7.2,8.4
2017,Rural,Total,9.7,1.4,2.7,14.5,11.8,11.1,16.5,12,8.6,5.8,8.3,11.6,7.4,4.3,3.6,11.5
2017,Total,Federal,5.5,1.8,2.9,4.2,2.8,2.7,7,7.4,6.3,6.5,11.6,16.6,10.9,6.4,6.6,9.8
2017,Urbana,Federal,5.5,1.8,2.9,4.1,2.7,2.7,7,7.4,6.4,6.5,11.8,16.8,11.1,6.5,6.8,9.8
2017,Rural,Federal,1.8,0,0,10,7.7,0,0,0,0,0,10.7,15.3,9.7,5.5,2.6,10.1
2017,Total,Estadual,8.6,0.6,1.1,8.1,3.6,4.5,12.2,10.8,9.5,9.6,11.8,16.9,10.5,6.2,7.4,9.4
2017,Urbana,Estadual,8.6,0.5,0.9,7.8,3.2,4.1,12.1,10.8,9.5,9.7,12,17.2,10.6,6.3,7.5,8.6
2017,Rural,Estadual,9,2.5,3.9,11.6,8.1,9.3,12.7,10.4,8.4,7.7,8.3,11.5,7.3,4.3,5.2,12
2017,Total,Municipal,8.4,1.3,2.7,12.1,8,7.2,16,13.4,10,6.6,9.2,14.4,7.9,4.1,3.6,4
2017,Urbana,Municipal,7.9,1.3,2.7,11.3,6.9,6.1,15.6,13.7,10.4,7,9.4,14.4,8.1,4.4,4.2,8.3
2017,Rural,Municipal,9.9,1.3,2.7,14.7,12.1,11.3,17.4,12.4,8.8,5.3,7.8,13.8,6.4,1.7,0.8,0
2017,Total,Privada,2.1,1.4,1.1,1.3,1.2,1.3,3,3.6,3.4,3.5,4,6.7,3.5,1.5,1.4,2.7
2017,Urbana,Privada,2.1,1.4,1.1,1.3,1.2,1.3,3,3.6,3.4,3.5,4,6.7,3.5,1.5,1.2,2.7
2017,Rural,Privada,4,2.8,2.4,4.6,4.1,3.1,5.7,4.6,4.7,4.5,4.2,5.7,4.4,2.4,1.9,1.3
2017,Total,Pública,8.4,1.2,2.4,11.4,7.3,6.7,14.3,12.1,9.7,8.3,11.8,16.9,10.5,6.2,7.2,9.5
2017,Urbana,Pública,8.1,1.1,2.4,10.7,6.2,5.7,13.8,12.2,9.9,8.6,11.9,17.2,10.6,6.3,7.3,9.1
2017,Rural,Pública,9.8,1.3,2.7,14.5,11.8,11.1,16.6,12.1,8.7,5.8,8.4,11.8,7.5,4.3,4.1,11.6
2016,Total,Total,8.3,1.3,2.5,10.7,7.2,6.8,14,12.1,10.2,8.6,11.9,17.3,10.7,6,7.3,9.2
2016,Rural,Total,10.7,1.5,3,15.7,13.1,12.4,17.8,13,9.7,6.3,8.6,12.2,7.6,4.3,3.8,11
2016,Urbana,Total,7.9,1.3,2.4,9.7,6,5.7,13.4,12,10.3,8.9,12,17.5,10.8,6.1,7.4,8.9
2016,Total,Estadual,9.8,0.7,1.3,8.6,4.1,5.3,13.7,12.3,11.2,10.9,13,18.5,11.7,6.8,7.8,11
2016,Total,Federal,5.7,3.4,3.1,3.8,2.8,3.9,6.6,7.1,6.8,7.2,11.6,17.1,10.3,5.9,5.9,8.4
2016,Total,Municipal,9.3,1.4,3,13.3,9.3,8.3,17.4,14.6,11.5,7.5,9.7,14.6,9.3,4,2.3,13.6
2016,Total,Privada,2.5,1.6,1.3,1.5,1.5,1.6,3.5,4.3,4,4.1,4.6,7.8,4.1,1.7,2.1,3.1
2016,Rural,Estadual,9.3,2,3.9,11.8,8.1,9.3,13.3,10.8,9,8.1,8.6,12.1,7.6,4.3,4.4,13.2
2016,Urbana,Estadual,9.8,0.6,1.1,8.4,3.8,5,13.7,12.4,11.3,11.1,13.2,18.8,11.9,6.9,7.9,10.4
2016,Rural,Federal,5.3,--,0,0,10,13.3,10,8.3,0,0,11.8,17.9,10.4,5.6,3.3,4.9
2016,Urbana,Federal,5.7,3.4,3.1,3.8,2.7,3.8,6.6,7.1,6.8,7.3,11.5,17,10.2,6,6,8.8
2016,Rural,Municipal,10.9,1.4,3,16.1,13.5,12.7,18.7,13.6,9.9,5.9,7,11.3,6.9,1.8,1,27.8
2016,Urbana,Municipal,8.9,1.4,3,12.5,8,7.1,17,14.9,11.9,7.9,10,15.1,9.6,4.3,2.5,12.8
2016,Rural,Privada,4.3,3,2.8,4.5,4.5,3.3,6.3,5.5,6,3.7,4,6.4,3.3,1.8,3.9,1.9
2016,Urbana,Privada,2.5,1.6,1.3,1.5,1.4,1.6,3.5,4.3,4,4.1,4.6,7.8,4.1,1.7,1.3,3.1
2016,Total,Pública,9.5,1.3,2.7,12.5,8.4,7.8,15.7,13.5,11.3,9.4,12.9,18.4,11.7,6.7,7.4,10
2016,Rural,Pública,10.7,1.4,3,15.8,13.2,12.5,17.8,13.1,9.8,6.4,8.7,12.4,7.7,4.4,3.7,11.2
2016,Urbana,Pública,9.2,1.2,2.7,11.7,7.2,6.6,15.3,13.5,11.5,9.9,13.1,18.7,11.9,6.8,7.5,9.8
2015,Total,Total,8.2,1.4,2.5,10.5,7.2,6.7,13.8,12.2,9.6,8.3,11.5,16.6,10.1,5.9,5.8,8.1
2015,Total,Pública,9.2,1.2,2.8,12.2,8.3,7.6,15.4,13.5,10.5,8.9,12.4,17.7,10.9,6.5,6,9.3
2015,Total,Federal,6.3,4.4,3.8,3.1,4.1,3.6,8.6,6.8,7.5,7.2,12.4,18.5,11.1,6.6,7.4,9.8
2015,Total,Estadual,9.5,0.7,1.3,8.6,4.7,5.5,13.4,12.4,10.3,10.4,12.4,17.7,11,6.6,5.6,8.9
2015,Total,Municipal,9,1.3,3,12.9,9,8.1,17.1,14.6,10.7,6.9,10.2,16.5,8.6,4.1,2.4,3.5
2015,Total,Particular,2.8,1.8,1.6,1.7,1.7,1.8,4.1,4.8,4.5,4.6,5.1,8.5,4.4,1.9,1.1,2
2015,Urbana,Total,7.8,1.4,2.4,9.6,6,5.6,13.3,12.2,9.7,8.6,11.6,16.8,10.2,6,5.8,7.8
2015,Urbana,Pública,9,1.2,2.7,11.4,7.1,6.5,15.1,13.6,10.7,9.3,12.6,18,11.1,6.7,6,9
2015,Urbana,Federal,6.3,4.4,3.9,3.1,4.1,3.5,8.6,6.7,7.4,7.2,12.7,18.9,11.5,6.8,7.6,10.3
2015,Urbana,Estadual,9.5,0.6,1.1,8.4,4.4,5.2,13.4,12.5,10.4,10.5,12.6,18,11.1,6.7,5.6,7.7
2015,Urbana,Municipal,8.7,1.3,3.1,12.2,7.8,6.9,16.8,15,11.2,7.4,10.6,17.1,8.9,4.5,2.8,3.8
2015,Urbana,Particular,2.8,1.8,1.6,1.6,1.7,1.8,4,4.8,4.5,4.6,5.1,8.5,4.5,1.9,1.1,1.9
2015,Rural,Total,10.2,1.3,3.1,15,12.8,12,17.1,12.5,8.9,5.6,8.3,12,7.3,4,4.3,10.1
2015,Rural,Pública,10.2,1.3,3.1,15.1,12.9,12,17.1,12.6,8.9,5.6,8.5,12.2,7.4,4.1,5.1,10.2
2015,Rural,Federal,5.9,0,0,0,0,9.1,0,9.1,20,11.1,10.7,16.3,9,5.5,5,4.7
2015,Rural,Estadual,9.3,2.1,4.4,11.6,8.7,9.9,13.4,10.7,8.8,7.6,8.4,12,7.4,4.1,6.1,11.9
2015,Rural,Municipal,10.3,1.3,3,15.3,13.2,12.2,17.9,13,8.9,5.1,6.9,11.9,6.2,0.9,0.6,0
2015,Rural,Particular,4.8,3.1,2.9,4.8,4.7,3.7,8.2,6.7,5.5,4.7,3.9,6.8,2.7,1.6,1.4,3.5
2014,Total,Total,8.6,1.5,2.9,11.1,7.6,7,14.6,12.4,10.3,8.9,12.1,17,11,6.4,6.4,8.3
2014,Total,Publico,9.6,1.4,3.1,12.8,8.6,7.9,16.2,13.5,11.1,9.6,13.1,18.1,11.9,7.2,6.5,9
2014,Total,Particular,3.2,2,1.8,1.9,1.9,2,4.6,5.5,5.3,5,5.5,9.1,4.7,2,1.6,4.1
2014,Total,Municipal,9.5,1.5,3.5,13.5,9.6,8.5,18.1,14.8,11.5,7.7,11.3,17.4,10.1,5.1,2.5,7.3
2014,Total,Federal,7.8,3,4.2,3.7,3,3.6,10.1,9.4,10.4,8.9,13.1,19.7,11.8,7,7,12.2
2014,Total,Estadual,9.8,0.7,1.4,9.2,4.7,5.5,14,12.2,10.8,10.9,13.1,18,11.9,7.2,6.6,7.6
2014,Rural,Total,10.2,1.5,3.5,15,12.7,11.9,17.2,12.3,8.9,5.6,8.7,11.9,7.6,4.7,5,12.9
2014,Rural,Publico,10.2,1.4,3.5,15.1,12.8,11.9,17.3,12.4,8.9,5.6,8.8,12,7.7,4.8,6.3,13
2014,Rural,Particular,5.3,4.1,3.1,6.8,4.8,4.6,7,7.1,5.7,5.1,4.8,8.4,3.5,2,1.1,2.7
2014,Rural,Municipal,10.4,1.4,3.4,15.2,13.1,12.1,18.1,12.9,9,5.1,7.5,12.3,6.4,2.2,2.1,22.2
2014,Rural,Federal,3.7,0,0,0,7.1,7.7,0,5.6,0,10,12.2,17.9,8.9,7,4,11.6
2014,Rural,Estadual,9.1,2.5,5.2,12.5,8.6,9.2,12.6,10.1,8.7,7.5,8.6,11.6,7.7,4.8,9.1,13.4
2014,Urbana,Total,8.4,1.5,2.8,10.3,6.5,6,14.2,12.4,10.5,9.3,12.3,17.2,11.1,6.5,6.4,7.8
2014,Urbana,Publico,9.5,1.3,3,12.2,7.6,6.9,16,13.6,11.4,10.1,13.3,18.3,12.1,7.3,6.6,8.4
2014,Urbana,Particular,3.2,2,1.8,1.8,1.8,2,4.6,5.5,5.3,5,5.5,9.1,4.7,2,1.8,4.1
2014,Urbana,Municipal,9.3,1.5,3.5,13,8.5,7.3,18.1,15.4,12.2,8.5,11.9,18.3,10.7,5.5,2.5,6.9
2014,Urbana,Federal,7.8,3,4.2,3.8,3,3.5,10.1,9.4,10.4,8.9,13.3,20,12.3,7,7.1,12.2
2014,Urbana,Estadual,9.8,0.6,1.1,8.9,4.4,5.2,14.1,12.3,10.9,11.1,13.3,18.3,12.1,7.3,6.5,6.7
2013,Total,Total,8.5,1.5,3.3,10.3,7.2,7.3,14,12,9.8,8.9,11.8,16.7,10.5,6.4,5.4,7.4
2013,Total,Publico,9.4,1.4,3.6,11.9,8.2,8.2,15.4,13,10.5,9.5,12.7,17.6,11.4,7.1,5.5,7.7
2013,Total,Privada,3.3,2.1,1.9,1.9,1.9,2,4.7,5.6,5.2,5.2,5.7,9.3,4.9,2.2,3.1,5.2
2013,Total,Municipal,9.4,1.5,4,12.8,9,8.7,17.8,14.5,10.9,7.5,10.8,16.7,9.2,4.9,2,9.3
2013,Total,Federal,8.2,4.6,4,5,4.6,4.1,8.8,9.8,11.1,9.6,13.5,20.5,12.4,7.8,7.5,9.8
2013,Total,Estadual,9.4,0.7,1.6,7.6,4.5,6.2,12.7,11.6,10.2,10.8,12.7,17.6,11.4,7.1,5.2,7
2013,Rural,Total,9.8,1.5,4.1,14,12,11.5,16.7,11.8,8.4,5.5,8.3,11.5,7.2,4.4,4.4,11
2013,Rural,Publico,9.9,1.5,4.1,14,12.1,11.6,16.7,11.9,8.5,5.5,8.4,11.7,7.3,4.5,5.2,11.1
2013,Rural,Privada,4.7,4.1,2.9,6.2,3.6,3.6,6.3,6.3,6,4,4.2,6.8,3.5,2,1.4,0
2013,Rural,Municipal,10,1.4,4,14.2,12.4,11.8,17.6,12.3,8.5,4.9,6.7,11.1,5.7,1.8,0.7,--
2013,Rural,Federal,5.1,0,0,0,21.4,8.3,0,12.5,0,0,12.7,17.8,9.6,8.6,5.9,13.6
2013,Rural,Estadual,8.8,1.9,5,11.1,8.3,9.4,12.4,9.9,8.1,7.4,8.2,11.3,7.3,4.3,6.2,10.1
2013,Urbana,Total,8.2,1.5,3.1,9.6,6.2,6.4,13.6,12.1,9.9,9.2,12,16.9,10.6,6.5,5.4,7.1
2013,Urbana,Publico,9.3,1.3,3.5,11.3,7.1,7.3,15.1,13.2,10.8,10,12.9,17.9,11.6,7.2,5.5,7.3
2013,Urbana,Privada,3.3,2.1,1.9,1.8,1.9,2,4.7,5.6,5.2,5.2,5.7,9.3,4.9,2.2,3.5,5.3
2013,Urbana,Municipal,9.2,1.5,4,12.4,8,7.8,17.8,15.1,11.6,8.2,11.5,17.7,9.8,5.5,2.3,9.3
2013,Urbana,Federal,8.2,4.7,4,5,4.4,4.1,8.9,9.8,11.1,9.6,13.7,21,12.9,7.6,7.6,9.3
2013,Urbana,Estadual,9.4,0.6,1.3,7.3,4.2,5.9,12.7,11.7,10.3,11,12.9,17.8,11.5,7.2,5.2,6.8
2012,Total,Total,9.1,1.9,5.1,11.1,7.8,7.5,14.6,12.5,10,9.5,12.2,16.8,11.1,6.9,4.7,7.4
2012,Total,Publico,10.1,1.8,5.7,12.6,8.9,8.4,15.9,13.6,10.7,10.1,13.1,17.7,12,7.5,4.9,7.9
2012,Total,Privada,3.5,2.1,2,1.9,1.9,2.1,5,5.7,5.5,5.5,6.1,9.7,5.3,2.6,1.3,2.8
2012,Total,Municipal,10.1,2,6.5,13.7,9.7,8.9,17.8,14.9,11,7.9,10.8,16.7,9,5.9,1.6,11.3
2012,Total,Federal,8.2,4.4,4.1,4.9,3.9,3.9,9.4,9.7,9.5,10.6,13.4,17,12,8.7,16.6,12.3
2012,Total,Estadual,10,0.9,2.2,8,5.3,6.5,14,12.4,10.5,11.6,13.1,17.7,12.1,7.5,3.6,6.9
2012,Rural,Total,10.8,2.5,7.9,15.2,12.5,11.4,17,12.3,8.5,5.5,7.7,10.5,6.9,4.3,1.1,9.1
2012,Rural,Publico,10.8,2.5,8,15.3,12.5,11.5,17,12.3,8.5,5.5,7.8,10.6,7,4.3,1.2,9.3
2012,Rural,Privada,5.4,4,4.1,6.5,4,4.3,7.8,7.2,6.1,5.7,4.8,7.6,4.3,2,0.3,0
2012,Rural,Municipal,11,2.5,8.1,15.5,12.8,11.7,17.8,12.8,8.7,5.1,6.4,10.4,5.7,1.9,0,--
2012,Rural,Federal,9.2,0,0,9.1,0,0,12.5,12.5,17.6,10,12.1,16.3,10.6,7.4,2.7,17.2
2012,Rural,Estadual,9.1,2.7,6.5,11.5,8.6,9.3,13.3,10.6,7.7,7,7.6,10.3,6.8,4.3,1.3,7.4
2012,Urbana,Total,8.9,1.7,4.5,10.2,6.8,6.7,14.3,12.6,10.2,9.9,12.4,17,11.3,6.9,4.9,7.3
2012,Urbana,Publico,9.9,1.6,5.1,11.9,7.8,7.6,15.8,13.8,11,10.7,13.3,18,12.3,7.7,5,7.8
2012,Urbana,Privada,3.4,2.1,2,1.9,1.9,2.1,4.9,5.7,5.5,5.5,6.1,9.8,5.3,2.6,1.4,2.9
2012,Urbana,Municipal,9.8,1.8,6,13.1,8.7,8,17.8,15.5,11.6,8.6,11.7,18,9.6,6.7,1.8,11.3
2012,Urbana,Federal,8.2,4.4,4.1,4.9,4,3.9,9.4,9.7,9.5,10.6,13.6,17.1,12.2,8.9,17.2,11.8
2012,Urbana,Estadual,10.1,0.8,1.9,7.8,5,6.3,14,12.5,10.6,11.8,13.3,18,12.3,7.7,3.7,6.8
2011,Total,Total,9.6,2.1,6.7,11.4,7.5,7.8,15.2,12.7,10.7,10.3,13.1,18,11.8,7.5,4.2,10
2011,Total,Publico,10.5,2.1,7.5,12.8,8.4,8.6,16.6,13.6,11.5,11,14,19,12.7,8.2,4.3,10.7
2011,Total,Particular,3.5,2,2.1,1.9,1.9,2.2,4.9,5.6,5.4,5.3,6.1,9.6,5.3,2.6,2.4,4.6
2011,Total,Municipal,10.2,2.3,8.1,13.8,9.3,9.1,17.9,14.3,10.7,7.9,10.5,15.8,9.8,5.5,2.2,8.3
2011,Total,Federal,8.6,4.7,4.4,4.6,4.2,5.1,10.1,10.8,8,11.3,13.9,19.4,12.6,7.7,10.2,10.2
2011,Total,Estadual,11.1,1,4.7,8.9,5.2,6.9,15.4,13.1,12,13,14.1,19,12.7,8.3,3.8,10.9
2011,Rural,Total,11,3,9.8,14.8,12,11.2,17.4,12.1,8.6,5.7,8.2,11.2,7.2,4.6,1.9,12.9
2011,Rural,Publico,11,3,9.8,14.9,12.1,11.3,17.4,12.2,8.7,5.7,8.3,11.3,7.3,4.6,2.1,13.4
2011,Rural,Particular,5.7,5.4,5.2,5.8,5,4.8,9.3,6.4,5.3,4.5,5.3,7.7,4.3,4.1,1.2,0.8
2011,Rural,Municipal,11.1,3,9.9,15.1,12.4,11.4,18,12.5,8.6,5,6.4,9.9,6,2.2,0.2,8.5
2011,Rural,Federal,3.3,0,0,0,11.1,10,0,0,0,12.5,12.2,17.8,9.1,5.9,8.3,13.5
2011,Rural,Estadual,9.9,2.6,8.6,12,8.7,9.3,14.5,10.7,8.9,8,8.2,11,7.3,4.7,1.3,13.5
2011,Urbana,Total,9.4,1.8,6,10.5,6.5,7,14.9,12.8,11,10.8,13.3,18.3,11.9,7.6,4.3,9.8
2011,Urbana,Publico,10.4,1.8,6.8,12.2,7.3,7.9,16.5,13.8,11.8,11.7,14.3,19.3,12.9,8.4,4.3,10.5
2011,Urbana,Particular,3.4,2,2.1,1.9,1.9,2.2,4.9,5.6,5.4,5.3,6.1,9.6,5.3,2.6,2.6,4.7
2011,Urbana,Municipal,9.9,2.1,7.5,13.3,8.2,8.3,17.8,14.9,11.3,8.7,11.3,17.1,10.6,6.1,2.5,8.3
2011,Urbana,Federal,8.6,4.7,4.5,4.6,4.1,5.1,10.2,10.9,8,11.3,14.2,19.7,13.4,8.1,10.3,10
2011,Urbana,Estadual,11.1,0.8,4.4,8.6,5,6.7,15.4,13.2,12.2,13.2,14.3,19.3,12.9,8.4,3.8,10.7
2010,Rural,Estadual,10.2,2.8,12.1,12.1,9.6,10,13.5,11.3,8.9,7.3,7.4,10.4,6.6,3.6,1.1,6.3
2010,Total,Estadual,11.2,1.1,6.9,8.7,5.7,7.6,14.8,13.6,12,12.7,13.4,18.1,11.9,7.8,3.8,9.5
2010,Urbana,Estadual,11.3,0.9,6.5,8.4,5.4,7.4,14.8,13.7,12.1,12.9,13.6,18.3,12.1,8,3.9,9.6
2010,Rural,Federal,7.4,0,0,9.1,0,29.4,10,0,0,0,14,20,10.8,7.3,11.6,14.1
2010,Total,Federal,9.7,3.6,5.5,3.8,4.1,4.8,11.7,12.4,11.8,11.8,14.2,19.3,13.6,7.2,18.8,7.9
2010,Urbana,Federal,9.7,3.6,5.5,3.7,4.1,4.5,11.8,12.4,11.8,11.8,14.3,19.1,14.1,7.2,19.2,7.6
2010,Rural,Municipal,12.4,4.5,13.6,16.8,13.3,11.8,18,12.6,8.9,5.5,5.4,9,4.2,1.8,0.8,--
2010,Total,Municipal,11.2,2.9,11.1,14.7,10.1,9.5,18.2,14.7,11.1,8.5,10.3,15.9,9.6,5.3,2,10.7
2010,Urbana,Municipal,10.8,2.5,10.1,13.9,8.9,8.8,18.2,15.3,11.7,9.3,11.2,17.4,10.6,5.9,2.2,10.7
2010,Rural,Particular,6.9,8.2,7.3,8.3,6.3,6.3,8.9,6,6.2,3.6,4.8,6.9,4.2,2.7,3,--
2010,Total,Particular,3.4,2.1,2.2,2,1.9,2.1,4.8,5.5,5.3,5.2,5.9,9.4,5.3,2.4,1.6,5.2
2010,Urbana,Particular,3.4,2,2.2,1.9,1.9,2.1,4.8,5.5,5.3,5.2,5.9,9.4,5.3,2.4,1.5,5.2
2010,Rural,Publico,12.1,4.4,13.5,16.5,13,11.6,17.2,12.3,8.9,5.9,7.7,10.9,6.7,3.7,2.4,7.4
